peakToPeak(VDC("/Vout"))/24m X,peakToPeak(VDC("/Vout"))/24m Y
1.6,0.001145894535139099
1.7,0.003418391216258865
1.8,0.005874121984652166
1.9,0.0005779620020259409
2,0.00404087683209912
