peakToPeak(VDC("/Vout"))/5 X,peakToPeak(VDC("/Vout"))/5 Y
0.7,3.415231166314925e-07
0.77,1.875734776808358e-05
0.84,5.700010318854254e-07
0.91,8.364651164605164e-07
